Symbol,Description,Records,Start_Date,End_Date,Years_of_Data,Latest_Price,Total_Return_%,Avg_Daily_Volume,Status
VBL.NS,Varun Beverages - Beverages (PepsiCo),2132,2016-11-08,2025-06-24,8.6,462.75,1605.28,4449875,Success
BALRAMCHIN.NS,Balrampur Chini Mills - Sugar & Chemicals,5708,2002-07-01,2025-06-24,23.0,595.2,340555.45,2137500,Success
DEEPAKNTR.NS,Deepak Nitrite - Chemicals,3634,2010-09-29,2025-06-24,14.7,1898.3,12634.99,355253,Success
ALKYLAMINE.NS,Alkyl Amines Chemicals - Chemicals,4332,2007-11-26,2025-06-24,17.6,2197.8,13280.89,40848,Success
UBL.NS,United Breweries - Alcoholic Beverages,4166,2008-07-28,2025-06-24,16.9,1928.7,1193.51,340081,Success
GNFC.NS,Gujarat Narmada Valley Fertilizers - Fertilizers,5705,2002-07-01,2025-06-24,23.0,538.15,3229.43,634081,Success
KANSAINER.NS,Kansai Nerolac Paints - Paints,5705,2002-07-01,2025-06-24,23.0,241.85,199876.05,268453,Success
RADICO.NS,Radico Khaitan - Alcoholic Beverages,5456,2003-06-18,2025-06-24,22.0,2683.3,8440.16,361389,Success
EMAMILTD.NS,Emami Limited - Personal Care,4658,2006-08-03,2025-06-24,18.9,565.0,1449.8,411159,Success
GILLETTE.NS,Gillette India - Personal Care,5705,2002-07-01,2025-06-24,23.0,10321.0,3682.82,8634,Success
RTNPOWER.NS,RattanIndia Power - Textiles & Power,3861,2009-10-30,2025-06-24,15.6,13.91,-64.78,10172617,Success
JUBLFOOD.NS,Jubilant FoodWorks - Food Services (Dominos),3795,2010-02-08,2025-06-24,15.4,695.55,2858.37,6205577,Success
PGHH.NS,Procter & Gamble Hygiene - Personal Care,5676,2002-08-12,2025-06-24,22.9,13461.0,4546.51,5610,Success
WELCORP.NS,Welspun Corp - Textiles,6232,2000-06-23,2025-06-24,25.0,912.7,11392.7,924809,Success
TRIDENT.NS,Trident Limited - Textiles,5705,2002-07-01,2025-06-24,23.0,30.15,4394.38,6736829,Success
PAGEIND.NS,Page Industries - Innerwear (Jockey),4506,2007-03-16,2025-06-24,18.3,46270.0,22060.97,28471,Success
RAYMOND.NS,Raymond Limited - Textiles,6355,2000-01-03,2025-06-24,25.5,599.5,988.52,383548,Success
SUNTV.NS,Sun TV Network - Media,4730,2006-04-24,2025-06-24,19.2,597.6,158.32,1155706,Success
INOXLEISURE.NS,INOX Leisure - Cinema Multiplex,0,N/A,N/A,0.0,0.0,0.0,0,Failed
PVR.NS,PVR Limited - Cinema Multiplex,0,N/A,N/A,0.0,0.0,0.0,0,Failed
NYKAA.NS,Nykaa (FSN E-Commerce) - Beauty E-commerce,895,2021-11-10,2025-06-24,3.6,198.36,-46.04,8649403,Success
ZEEL.NS,Zee Entertainment - Media,5705,2002-07-01,2025-06-24,23.0,143.58,347.37,8026023,Success
ZOMATO.NS,Zomato - Food Delivery,0,N/A,N/A,0.0,0.0,0.0,0,Failed
NETWORKIN.NS,Network18 Media - Media,0,N/A,N/A,0.0,0.0,0.0,0,Failed
ARVIND.NS,Arvind Limited - Textiles,5708,2002-07-01,2025-06-24,23.0,350.35,5420.86,4586644,Success
EASEMYTRIP.NS,EaseMyTrip - Online Travel,1053,2021-03-19,2025-06-24,4.3,10.51,63.1,44741461,Success
CARTRADE.NS,CarTrade Tech - Auto Marketplace,950,2021-08-20,2025-06-24,3.8,1615.7,7.64,296025,Success
PAYTM.NS,Paytm (One97 Communications) - Fintech,889,2021-11-18,2025-06-24,3.6,898.5,-42.43,5949812,Success
MAPMYINDIA.NS,MapmyIndia (CE Info Systems) - Mapping,867,2021-12-21,2025-06-24,3.5,1762.8,27.12,215420,Success
DELHIVERY.NS,Delhivery - Logistics,763,2022-05-24,2025-06-24,3.1,377.05,-29.7,2245394,Success
SPICEJET.NS,SpiceJet - Airlines,116,2022-11-10,2023-04-28,0.5,31.7,-19.34,2781122,Success
POLICYBZR.NS,PolicyBazaar - Insurance Broking,892,2021-11-15,2025-06-24,3.6,1868.8,55.44,1809890,Success
SAREGAMA.NS,Saregama India - Music,5705,2002-07-01,2025-06-24,23.0,503.45,6451.66,583673,Success
INDIGO.NS,IndiGo (InterGlobe Aviation) - Airlines,2374,2015-11-10,2025-06-24,9.6,5606.5,574.16,1210242,Success
GICRE.NS,General Insurance Corporation - Insurance,1893,2017-10-25,2025-06-24,7.7,381.05,0.51,1114076,Success
BLUEDART.NS,Blue Dart Express - Logistics,5705,2002-07-01,2025-06-24,23.0,6256.0,9756.67,14661,Success
MINDSPACE.NS,Mindspace Business Parks REIT - REITs,1206,2020-08-07,2025-06-23,4.9,410.18,75.94,296379,Success
TCI.NS,Transport Corporation of India - Logistics,5708,2002-07-01,2025-06-24,23.0,1139.7,1368599.27,101221,Success
BATINDIA.NS,ITC (British American Tobacco) - Tobacco,0,N/A,N/A,0.0,0.0,0.0,0,Failed
THERMAX.NS,Thermax Limited - Energy & Environment,5708,2002-07-01,2025-06-24,23.0,3459.3,291075.87,115107,Success
HONAUT.NS,Honeywell Automation - Industrial Automation,5708,2002-07-01,2025-06-24,23.0,38425.0,27338.28,3344,Success
CRISIL.NS,CRISIL Limited - Rating & Research,5708,2002-07-01,2025-06-24,23.0,5819.5,27565.34,31539,Success
BROOKFIELD.NS,Brookfield India Real Estate Trust - REITs,0,N/A,N/A,0.0,0.0,0.0,0,Failed
EMBASSYOFC.NS,Embassy Office Parks REIT - REITs,0,N/A,N/A,0.0,0.0,0.0,0,Failed
LICI.NS,Life Insurance Corporation - Insurance,768,2022-05-17,2025-06-24,3.1,945.65,9.82,2295818,Success
INDIGOPNTS.NS,Indigo Paints - Paints,1085,2021-02-02,2025-06-24,4.4,1162.8,-62.46,123691,Success
CLEAN.NS,Clean Science and Technology - Specialty Chemicals,972,2021-07-19,2025-06-24,3.9,1450.8,-7.53,205846,Success
